,Name,City,Address,Working Hours,Activities,Numbers,WebPage,Instagram,Facebook,Latitude,Longitude
29,Шато сопот,Велес,"Велес, с.Сопот",Работно време: Пон - Нед од 09:00 до 22:00,"['вина - производство', 'винарски визби', 'ресторани']",078 663300,http://www.chateausopot.mk/,https://www.instagram.com/chateausopot/?fbclid=IwAR3e06q3Z_E2jn1SRDs-XRaK3nMTyRKvbGb30raS8TJLhhKbkJ3,https://,41.7841237,21.7185573
30,ВВМ ГД Тиквеш,Кавадарци,"Кавадарци, Шишка 2", ,['винарски визби'],043 412852,http://www.gdtikveswinery.com/,https://,https://,41.4388596,22.0190144
31,Кувин,Скопје,"Скопје, Македонска Преродба 70",Работно време: Пон - Нед од 08:00 до 00:00,"['винотеки (винарници)', 'винарски визби']",075 233340,http://www.winerykuvin.com/mk,https://,https://www.facebook.com/dresuratasevski/,42.0096975,21.3574796
32,Бујук,Кавадарци,"Кавадарци, с.Дабниште", ,"['винотеки (винарници)', 'винарски визби']",075 840937,http://,https://,https://,41.3784558,22.0135161
33,Ангелови,Кавадарци,"Кавадарци, Македонија 6.6.", ,"['винотеки (винарници)', 'винарски визби']",043 550887,http://,https://,https://,41.4411126,22.0105934
34,Дестилерија Китвин,Кавадарци,"Кавадарци, Вељко Влаховиќ 2-2/6", ,"['винарски визби', 'ракија - производство']",070 218024,http://www.kitvin.mk/,https://www.instagram.com/kitvindistillery/,https://www.facebook.com/kitvindistillery,41.4425204,22.0088447
35,Зик Градиште,Куманово,"Куманово, с.Градиште", ,"['винарски визби', 'житни култури - одгледувачи', 'житни култури - трговија']",071 209603,http://www.zikwine.com/,https://www.instagram.com/zik_wine_369/,https://,42.0239981,21.8875152
36,Пешков,Кавадарци,"Кавадарци, с.Ресава", ,['винарски визби'],070 204799,http://,https://www.instagram.com/peshkov_winery/,https://,41.3885623,21.9770414
37,Олд Скул Винери,Велес,"Велес, Велешко езеро", ,"['вина - производство', 'винарски визби']",075 355900,http://,https://,https://www.facebook.com/OldSchoolWinery2020/,41.775496399999994,21.759320409779836
38,Вински подрум Попови,Кавадарци,"Кавадарци, Сремски Фронт 18", ,"['винарски визби', 'вина - трговија', 'вина - производство', 'апартмани и приватни соби - изнајмување']",075 423370,http://www.vinoshop.mk/,https://www.instagram.com/winecellar_popovi/,https://www.facebook.com/profile.php?id=100063609999037,41.4351267,22.0181551
39,Максимилијан,Неготино,"Неготино, с.Пепелиште", ,"['вина - производство', 'винарски визби', 'вина - трговија']",071 261335,http://,https://,https://www.facebook.com/profile.php?id=100064194423358,41.5189418,22.1283551
40,Јостела,Гевгелија,"Гевгелија, Моински пат 154", ,"['вина - производство', 'вина - трговија', 'винарски визби']",070 305149,http://www.jostela.com/,https://www.instagram.com/jostelavinae/?fbclid=IwAR3aueazL1dqqsjHePdapQQg90DC4YP9Z1e4GnwZ9iChpoYkuwgcqsO8kmQ,https://www.facebook.com/JostelaWinery,41.1675808,22.3850504
